29,2,8,5,1,2,12,4
6,4
20,4
32,3,39,5
13,1,5,3,24,3,3,4
26,4
15,4
1,2,10,2
25,1
29,1,28,1,2,1,5,4
27,4
31,1
29,5,6,1,35,3,5,1
9,2
40,3
7,5
31,4
38,4,36,2
4,1
22,3
37,3,36,3
4,1
16,5,20,3
17,3
36,4,31,2,23,1
38,5,23,4,27,3,21,5
37,1,21,5,3,5,30,5
20,4,32,2,23,5,30,5
37,3,4,1,24,5,10,2
18,2
36,4,21,1,5,1
27,1
39,3
9,4
35,2
27,5
32,1
35,1,39,1,12,2,26,4
8,2,5,3,36,1,9,4
30,5,39,1,6,5,24,4
38,2
32,2
19,4,29,3,31,3,11,4
19,5
9,2,32,2,31,5,38,5
32,3
28,4
12,4
5,4
40,3,31,2,6,5,3,1
36,2,33,5,27,3
38,4
39,1
35,3,38,5,32,5
34,2
39,1,32,4
7,4,36,2,1,1
36,5,13,3,34,1
26,2
7,5
15,2
16,2
26,5
5,3
38,2
17,1
25,3,23,5,12,1,30,1
31,1,34,2,36,5,20,4
33,2
3,2,34,3,27,4,28,4
20,1
30,5,29,1
16,5
33,4,20,2,18,5,30,2
13,3,37,1,39,5
5,1
26,1
6,1,8,2,29,5,11,1
22,5
32,2,23,1,14,3,6,5
21,3,29,5
1,4,10,3,9,3,33,2
37,4
23,1
8,5,32,1,29,5,37,5
9,1
37,5
16,2
32,3
24,5,30,2,36,5,35,2
27,5
33,4
9,4
30,4,25,4,34,4
40,3
27,1,17,5,28,3,37,4
25,3
23,4
24,2
4,3
28,2,35,4
23,4
7,4
28,5,6,1
3,3
39,5
37,3
21,4
9,4
35,2
11,3
28,2
9,5,36,4
4,4
2,5
4,2
35,4
37,5
34,4
11,5,33,5,38,4,4,3
25,4,17,3,9,1,35,2
11,5
29,4
27,5
27,4
33,2,36,4,30,2
31,1,32,1,7,2,39,4
4,3
32,4,38,5
32,5
1,5,36,3
7,2,2,1,10,3,1,4
25,1,33,5,3,3
38,3
22,2,18,4,1,5
15,5,5,3
11,4
23,2
31,5
5,1
19,5,15,1
11,1
23,2,15,4,37,2,11,2
9,2
16,1
1,1,36,4
24,3,40,4,38,2
3,4
2,3
22,5,31,1,1,3,9,3
8,3
8,3,20,3,19,4
40,1,31,3
20,4
20,5,6,3,37,4,29,3
3,4,35,3,23,3,29,3
5,5,36,5,39,2,9,3
17,2,12,3,29,4,6,5
4,3
30,3,11,5,21,5
7,1
9,1,18,1
27,1
33,1
10,5,33,2,21,1,6,1
36,4
39,5
8,5
20,5
35,3,21,2,16,3
26,3,31,1,24,4,33,3
27,2
20,2
20,3,10,3,33,5,38,3
8,3
31,2,24,1,13,5
6,1,21,2
15,4,13,3
14,2
8,4,37,1,11,1
17,4
32,2,4,4
33,4,27,3,5,2
10,1,20,2
5,2
31,1,7,2
38,1,40,1
6,5,10,3
32,1
32,3
32,5
27,5,14,5,22,2,36,1
12,3
1,5
36,2,34,3
35,2
33,2
19,3
37,5,9,4,23,4,4,5
11,3
38,3,35,5,22,4,30,3
35,3
35,1
4,2
8,2
27,5
33,5
34,2,27,5,25,5
38,5
36,4
35,3
27,4
16,4
1,1
1,2
1,2
25,4,28,3,4,2
11,5,13,2,28,1
7,5
28,3
15,2,35,5,19,1,37,4
7,4,24,4,9,5,3,5
20,4
33,4,27,5,11,4
33,4
18,5
34,4,14,4,38,3,4,3
7,4,15,5,35,2
9,3
39,1,38,3,37,1,35,3
14,5
29,4,40,5,31,5,30,1
34,1,29,4
3,3
36,1
38,2,23,5,28,4,4,5
2,5
15,5,29,3,10,1
37,1
10,3
4,4
37,2
7,3
21,2
31,2,9,3
38,4
30,5
3,5
8,2
37,4
21,3
8,5,33,5
16,5,31,4,23,3,24,2
23,2
38,2,39,2
8,4
31,4
18,1
32,4
28,5
